anio,sede,campeon,subcampeon,tercero,partidos,goles,goles_por_partido
1930,Uruguay,Uruguay,Argentina,Estados Unidos,18,70,3.89
1934,Italia,Italia,Checoslovaquia,Alemania,17,70,4.12
1938,Francia,Italia,Hungría,Brasil,18,84,4.67
1950,Brasil,Uruguay,Brasil,Suecia,22,88,4.00
1954,Suiza,Alemania Federal,Hungría,Austria,26,140,5.38
1958,Suecia,Brasil,Suecia,Francia,35,126,3.60
1962,Chile,Brasil,Checoslovaquia,Chile,32,89,2.78
1966,Inglaterra,Inglaterra,Alemania Federal,Portugal,32,89,2.78
1970,México,Brasil,Italia,Alemania Federal,32,95,2.97
1974,Alemania Federal,Alemania Federal,Países Bajos,Polonia,38,97,2.55
1978,Argentina,Argentina,Países Bajos,Brasil,38,102,2.68
1982,España,Italia,Alemania Federal,Polonia,52,146,2.81
1986,México,Argentina,Alemania Federal,Francia,52,132,2.54
1990,Italia,Alemania Federal,Argentina,Italia,52,115,2.21
1994,Estados Unidos,Brasil,Italia,Suecia,52,141,2.71
1998,Francia,Francia,Brasil,Croacia,64,171,2.67
2002,Corea/Japón,Brasil,Alemania,Turquía,64,161,2.52
2006,Alemania,Italia,Francia,Alemania,64,147,2.30
2010,Sudáfrica,España,Países Bajos,Alemania,64,145,2.27
2014,Brasil,Alemania,Argentina,Países Bajos,64,171,2.67
2018,Rusia,Francia,Croacia,Bélgica,64,169,2.64
2022,Catar,Argentina,Francia,Croacia,64,172,2.69
