equipo,confederacion,participaciones_hasta_2022,titulos,subtitulos,mejor_resultado,pj_mundiales,pg,pe,pp,gf,gc,notas
Argentina,CONMEBOL,18,3,3,Campeón (1978 1986 2022),88,47,17,24,152,101,Campeón defensor; Messi máximo goleador activo del torneo
Brasil,CONMEBOL,22,5,2,Campeón (1958 1962 1970 1994 2002),114,76,19,19,237,108,Único país presente en todos los mundiales; eliminado en octavos 2026
Francia,UEFA,16,2,2,Campeón (1998 2018),73,39,14,20,136,85,Finalista en 2022; tres finales en las últimas tres ediciones previas
Inglaterra,UEFA,16,1,0,Campeón (1966),74,32,22,20,104,68,Semifinal 2018; subcampeón Euro 2020 y 2024
España,UEFA,16,1,0,Campeón (2010),67,31,17,19,108,75,Campeón Euro 2024; generación joven dominante
Portugal,UEFA,8,0,0,Tercero (1966),35,16,6,13,60,41,Campeón Nations League 2025
México,CONCACAF,17,0,0,Cuartos (1970 1986),60,16,15,29,62,101,Anfitrión; nunca superó el quinto partido; invicto histórico en el Azteca en mundiales
Estados Unidos,CONCACAF,11,0,0,Tercero (1930),37,9,8,20,39,64,Anfitrión; cuartos en 2002
Bélgica,UEFA,14,0,0,Tercero (2018),51,21,10,20,69,74,Generación dorada en retirada
Marruecos,CAF,6,0,0,Cuarto (2022),24,7,7,10,22,29,Primera semifinal africana en 2022; goleó 3-0 a Canadá en octavos 2026
Noruega,UEFA,3,0,0,Octavos (1998),8,2,3,3,7,8,Primera participación desde 1998; Haaland 7 goles en 2026; eliminó a Brasil
Suiza,UEFA,12,0,0,Cuartos (1934 1938 1954),41,14,9,18,57,67,Octavos en 2014 2018 2022
Colombia,CONMEBOL,6,0,0,Cuartos (2014),22,9,4,9,32,30,Subcampeón Copa América 2024; venció a Ghana en dieciseisavos
Egipto,CAF,3,0,0,Fase de grupos,7,0,4,3,5,9,Primera clasificación a octavos en su historia (2026); Salah líder
Paraguay,CONMEBOL,8,0,0,Cuartos (2010),27,7,10,10,30,38,Eliminado en octavos 2026 por Francia
Canadá,CONCACAF,2,0,0,Fase de grupos,6,0,0,6,2,12,Anfitrión; eliminado 0-3 por Marruecos en octavos 2026
